DateTime,Entries,UniqueIPs
1460894829,2543,145948672
1461154032,2555,145952768
1461240435,2555,145954816
1461326831,2555,145960192
1461499630,2556,145960448
1461758834,2557,145968640
1461845234,2557,145977856
1461931631,2557,145979904
1462018032,2558,145982976
1462104433,2559,145990144
1462450032,2560,145991168
1462536430,2561,145992192
1462622834,2559,145993216
1462709231,2560,145994240
1462968433,2560,146002688
1463054832,2562,146012928
1463141233,2568,146020096
1463227635,2568,146024192
1463314038,2572,146028288
1463573235,2565,146034688
1463659633,2567,146036736
1463746032,2567,146039808
1463832434,2573,146046208
1463918834,2575,146050560
1464178039,2582,146058752
1464264438,2587,146066944
1464350836,2590,146072320
1464437235,2591,146074368
1464782834,2593,146085632
1464869232,2593,146095104
1464955633,2594,146101248
1465042040,2593,146107392
1465128435,2595,146110464
1465387634,2596,146114560
1465474034,2596,146121728
1465560433,2597,146128896
1465646832,2600,146135552
1465733232,2601,146141696
1465992446,2602,146147840
1466078843,2609,146161152
1466165234,2613,146170368
1466251631,2616,146175488
1466338044,2620,146182656
1466597234,2617,146188800
1466683635,2622,146201344
1466770034,2625,146206464
1466856433,2629,146211840
1466942832,2630,146220544
1467202033,2631,146224640
1467288434,2628,146227712
1467374840,2627,146229760
1467461235,2624,146231808
1467547633,2626,146233856
1467806835,2630,146237184
1467893235,2634,146249984
1467979632,2634,146254592
1468066030,2636,146262784
1468152433,2640,146267904
1468411634,2646,146278144
1468498033,2645,146288384
1468584435,2650,146294528
1468670832,2651,146302720
1468757235,2645,146306816
1469016434,2648,146312960
1469102833,2650,146320384
1469189253,2653,146324480
1469275636,2653,146329600
1469362033,2654,146338816
1469621235,2650,146347008
1469707634,2649,146352128
1469794300,2651,146354176
1469880435,2653,146359552
1469966836,2659,146367744
1470226036,2661,146375936
1470312438,2669,146385408
1470398835,2672,146392832
1470485235,2673,146397184
1470571639,2674,146403328
1470830837,2676,146408448
1470917236,2677,146418688
1471003642,2676,146419712
1471090038,2672,146428928
1471176435,2673,146436096
1471435638,2679,146442496
1471522039,2681,146451712
1471608437,2682,146458880
1471694834,2681,146465536
1471781237,2685,146469888
1472040439,2684,146478336
1472126837,2687,146488576
1472213237,2685,146495744
1472299636,2685,146500864
1472386037,2684,146508544
1472645239,2682,146513920
1472731636,2687,146516992
1472818056,2685,146522112
1472904439,2688,146523904
1472990835,2691,146529024
1473250034,2692,146531072
1473336438,2693,146540288
1473422845,2694,146542336
1473509244,2696,146548480
1473595646,2697,146563840
1473854835,2722,146559488
1473941240,2730,146573056
1474027640,2740,146561024
1474114037,2740,146565120
1474200439,2736,146572288
1474459641,2742,146580736
1474546040,2747,146587904
1474632440,2753,146596352
1474718845,2753,146600448
1474805243,2757,146608896
1475064435,2758,146609920
1475150841,2759,146610944
1475237240,2759,146614016
1475669243,2756,146623488
1475755664,2758,146625536
1475842040,2761,146635776
1475928440,2764,146642176
1476014838,2768,146650368
1476274047,2767,146656512
1476360441,2764,146660608
1476533237,2770,146667776
1476619636,2772,146679040
1476878841,2774,146685184
1476965245,2774,146689280
1477051635,2767,146695424
1477138039,2765,146700544
1477224436,2764,146703616
1477483639,2769,146711808
1477570039,2775,146722048
1477656438,2791,146735616
1477742836,2802,146736640
1477829237,2808,146749952
1478088440,2808,146754304
1478174838,2802,146762240
1478347636,2804,146771712
1478434036,2802,146776832
1478606837,2802,146778880
1478693237,2803,146786816
1478779641,2807,146792960
1478866040,2807,146800640
1478952441,2811,146801664
1479038838,2816,146807808
1479384444,2817,146808832
