DateTime,Entries,UniqueIPs
1463909894,10846,10846
1464016812,10886,10886
1464094719,10852,10852
1464180625,10879,10879
1464198696,10896,10896
1464284342,10958,10958
1464358864,10937,10937
1464441833,10985,10985
1464614418,10988,10988
1464700992,11043,11043
1464788080,11074,11074
1464813101,11048,11048
1464879582,11075,11075
1464947982,11076,11076
1465136171,11102,11102
1465397375,11169,11169
1465470928,11253,11253
1465573216,11342,11342
1465651931,11377,11377
1465815082,11452,11452
1465828109,11519,11519
1465912410,11700,11700
1465998668,11704,11704
1466077714,11826,11826
1466113164,11747,11747
1466175438,11876,11876
1466429958,11869,11869
1466516918,11848,11848
1466599064,12019,12019
1466617675,11932,11932
1466687801,12099,12099
1466714922,12011,12011
1466777486,12161,12161
1466856945,12214,12214
1466873059,12233,12233
1466951951,12279,12279
1467037602,12420,12420
1467118768,12443,12443
1467205291,12594,12594
1467291812,12647,12647
1467377716,12699,12699
1467388252,12661,12661
1467641360,12843,12843
1467727295,12972,12972
1467810955,13095,13095
1467896506,13115,13115
1467924800,13208,13208
1467993453,13317,13317
1468076630,13391,13391
1468158610,13434,13434
1468241863,13628,13628
1468267107,13560,13560
1468336030,13712,13712
1468509328,13793,13793
1468592628,13844,13844
1468678358,13979,13979
1468762033,13940,13940
1468842465,14058,14058
1468898850,14022,14022
1468963373,14245,14245
1469042482,14272,14272
1469118562,14422,14422
1469202182,14420,14420
1469225383,14447,14447
1469308737,14413,14413
1469376723,14518,14518
1469456806,14501,14501
1469535236,14632,14632
1469551565,14579,14579
1469626405,14756,14756
1469703737,14768,14768
1469844964,14870,14870
1469894161,14875,14875
1470051566,15042,15042
1470138521,14915,14915
1470224363,15223,15223
1470252281,15139,15139
1470314701,15212,15212
1470436007,15206,15206
1470504458,15190,15190
1470572313,15233,15233
1470653153,15186,15186
1470697322,15204,15204
1470834439,15264,15264
1470919626,15229,15229
1471005378,15307,15307
1471516368,15294,15294
1471558398,15336,15336
1471635605,15420,15420
1471698478,15395,15395
1471784161,15502,15502
1471856198,15422,15422
1471901847,15543,15543
1471986368,15529,15529
1472071501,15712,15712
1472138322,15756,15756
1472224663,15835,15835
1472244676,15761,15761
1472392298,15900,15900
1472462659,15847,15847
1472502625,15907,15907
1472572325,15908,15908
1472658075,15971,15971
1472673092,15924,15924
1472746546,16103,16103
1472820671,16072,16072
1472850158,16155,16155
1473093323,16190,16190
1473162226,16120,16120
1473247686,16230,16230
1473268567,16035,16035
1473421151,16149,16149
1473547947,16197,16197
1473618998,16167,16167
1473691970,16324,16324
1473766435,16244,16244
1473934922,16292,16292
1474031055,16454,16454
1474184777,16453,16453
1474218631,16417,16417
1474300795,16487,16487
1474386278,16427,16427
1474470998,16538,16538
1474555151,16481,16481
1474639549,16530,16530
1475086934,16509,16509
1475255213,16527,16527
1475343501,16485,16485
1475500894,16580,16580
1475585782,16436,16436
1475589979,16428,16428
1475676016,16575,16575
1475713594,16557,16557
1475791291,16681,16681
1475853912,16820,16820
1475936935,16738,16738
1476052682,16830,16830
1476114432,16767,16767
1476190808,16822,16822
1476215520,16783,16783
1476294194,16910,16910
1476528777,16900,16900
1476631598,16947,16947
1476711129,16971,16971
1476735577,17048,17048
1476802741,16989,16989
1476888632,17063,17063
1476998084,17031,17031
1477068024,16978,16978
1477087049,17041,17041
1477233948,17133,17133
1477314569,17115,17115
1477332194,17163,17163
1477407773,17182,17182
1477494499,17277,17277
1477574725,17381,17381
1477613664,17316,17316
1477688821,17608,17608
1477722653,17608,17608
1477798864,17543,17543
1477869704,17603,17603
1477941811,17795,17795
1478107781,18077,18077
1478192438,17993,17993
1478267293,18074,18074
1478297983,18004,18004
1478358548,18095,18095
1478519737,18066,18066
1478659003,18180,18180
1478737748,18190,18190
1478793906,18276,18276
1478878849,18188,18188
1478885991,18263,18263
1479132390,18286,18286
1479174396,18091,18091
1479234019,18314,18314
1479314539,18196,18196
1479397060,18282,18282
