DateTime,Entries,UniqueIPs
1448136564,355,355
1448222973,351,351
1448312500,312,312
1448403059,314,314
1448487456,315,315
1448579440,314,314
1448658033,315,315
1448748674,315,315
1448833587,319,319
1448916356,363,363
1449001649,360,360
1449090029,356,356
1449175538,353,353
1449264496,304,304
1449347231,342,342
1449434204,344,344
1449521677,306,306
1449606999,312,312
1449692337,352,352
1449780335,349,349
1449866726,351,351
1449952059,315,315
1450039554,310,310
1450124846,358,358
1450220064,326,326
1450300166,324,324
1450384048,369,369
1450469620,370,370
1450559379,332,332
1450644407,331,331
1450736922,324,324
1450817171,361,361
1450905544,315,315
1450991915,304,304
1451082006,297,297
1451164215,290,290
1451247559,325,325
1451342267,290,290
1451421934,325,325
1451509234,327,327
1451595624,332,332
1451636842,296,296
1451682025,328,328
1451768966,333,333
1451854839,294,294
1451941229,332,332
1452026728,338,338
1452113192,347,347
1452200971,347,347
1452286827,316,316
1452373228,361,361
1452459634,366,366
1452546562,324,324
1452632056,317,317
1452718860,315,315
1452804948,353,353
1452888851,350,350
1452977682,346,346
1453064890,301,302
1453151291,343,345
1453237700,302,304
1453323871,311,313
1453410490,314,316
1453495207,323,325
1453580167,368,370
1453669208,374,376
1453753457,371,372
1453842019,379,379
1453929377,334,335
1454726659,50,50
1454734334,95,96
1454822897,140,141
1454907618,185,186
1454992094,226,227
1455081135,263,264
1455166098,303,304
1455254897,339,341
1455339862,295,296
1455424335,337,338
1455512650,294,297
1455598089,297,300
1455686412,297,300
1455771132,300,304
1455859689,339,344
1455944165,340,344
1456031046,299,303
1456117447,335,339
1456202409,337,340
1456291206,333,339
1456374985,336,341
1456463597,337,341
1456550659,306,310
1456696090,315,318
1456723218,316,318
1456808180,317,319
1456893371,362,367
1456980008,328,332
1457066406,370,374
1457154981,368,373
1457239929,361,367
1457328497,314,320
1457411535,360,367
1457498411,316,321
1457585295,310,316
1457674586,308,315
1457758104,350,358
1457844746,310,315
1457932130,354,360
1458016807,317,321
1458105620,317,319
1458190092,362,365
1458278415,358,361
1458365289,320,322
1458449769,326,328
1458534735,368,371
1458623063,325,326
1458711155,321,324
1458796595,318,320
1458882051,357,360
1458970351,309,312
1459055313,305,309
1459140036,308,314
1459228830,313,320
1459313563,360,367
1459399709,363,368
1459485152,362,367
1459574666,363,368
1459659621,358,365
1459744812,357,365
1459837499,311,318
1459918583,305,313
1460003788,346,354
1460092360,305,312
1460177068,341,349
1460266362,306,308
1460352059,304,305
1460436989,344,350
1460524103,304,311
1460609053,311,318
1460694985,350,357
1460784263,320,326
1460869478,357,364
1460957545,306,315
1461040600,345,354
1461127231,346,350
1461213618,351,354
1461300031,303,306
1461387871,341,344
1461476175,309,311
1461560904,350,353
1461645850,311,314
1461734409,307,311
1461821297,302,307
1461906042,309,314
1461992425,350,359
1462080740,349,360
1462165220,350,361
1462251624,313,321
1462338031,357,365
1462426345,316,323
1462510825,357,364
1462599138,319,322
1462683854,361,365
1462772177,312,315
1462856780,314,320
1462944979,308,314
1463030667,353,361
1463115378,352,360
1463260096,304,311
1463287213,345,353
1463375552,346,355
1463460012,354,363
1463548816,353,363
1463633535,348,357
1463722100,308,318
1463806574,342,355
1463895377,296,307
1463980095,336,351
1464066502,292,305
1464152908,330,346
1464237860,335,354
1464327140,297,315
1464411618,297,312
1464500181,298,313
1464584652,334,353
1464673215,299,315
1464757692,331,352
1464842650,332,352
1464931696,329,348
1465016174,328,346
1465104736,332,348
1465189451,335,352
1465320742,300,309
1465370665,298,308
1465455852,300,306
1465544416,301,308
1465628895,299,307
1465717217,300,307
1465801945,296,303
1465888583,336,343
1465977144,304,308
1466061857,299,303
1466147302,340,345
1466235618,303,308
1466320575,335,346
1466409137,287,300
1466493612,277,296
1466581937,305,331
1466666416,303,331
1466754739,262,295
1466839227,297,333
1466927779,276,300
1467012737,316,341
1467097292,325,346
1467186011,336,353
1467270495,339,355
1467358818,338,352
1467445950,294,310
1467672269,260,278
1467757215,259,277
1467841940,257,271
1467930755,253,266
1468015459,251,264
1468104252,245,259
1468188737,275,294
1468275383,314,336
1468361787,316,337
1468447266,291,307
1468535778,299,311
1468620255,334,349
1468708578,324,344
1468794495,287,304
1468878977,328,345
1468967300,292,307
1469052088,293,309
1469140346,335,351
1469224842,327,345
1469311240,322,333
1469400247,296,302
1469484972,286,295
1469571615,329,343
1469659935,290,304
1469744663,324,342
1469829146,320,341
1469917462,296,311
1470003847,336,353
1470088572,340,355
1470176896,306,314
1470261368,344,353
1470349933,302,312
1470434442,300,311
1470522737,294,307
1470607453,329,342
1470696253,298,303
1470782431,302,308
1470866897,299,309
1470955211,297,306
1471039940,293,304
1471128254,291,303
1471212974,293,308
1471299373,335,351
1471387690,290,304
1471472177,293,306
1471560733,296,309
1471645695,305,315
1471730174,342,352
1471818976,304,309
1471903694,340,345
1471992988,294,301
1472077713,286,296
1472162180,327,339
1472250735,279,292
1472337396,284,301
1472422341,318,336
1472510902,280,298
1472595615,319,340
1472683943,292,310
1472768903,296,311
1472854102,336,353
1472942411,305,315
1473027374,302,313
1473114248,339,351
1473198975,335,350
1473287538,335,349
1473372052,331,347
1473461052,297,310
1473545538,333,349
1473634339,298,311
1473720737,300,313
1473805221,305,316
1473892336,348,360
1473977054,307,315
1474065372,351,359
1474149849,352,359
1474238426,351,358
1474322902,350,358
1474409358,353,360
1474497853,307,315
1474582578,308,315
1474676899,299,310
1474761372,289,301
1474849459,288,300
1474936819,286,300
1475021297,282,299
1475109619,281,296
1475195295,286,302
1475279806,316,334
1475368343,274,288
1475453062,302,319
1475541611,300,318
1475628253,258,273
1475713214,292,310
1475801768,257,271
1475886782,266,285
1475971263,297,318
1476059542,272,296
1476146176,307,334
1476231375,307,334
1476318271,277,300
1476404676,318,344
1476492972,279,301
1476579651,287,307
1476664101,323,346
1476748847,313,338
1476835454,315,340
1476924014,289,308
1477008977,326,348
1477097775,285,301
1477182501,319,336
1477269143,288,300
1477353661,297,307
1477441936,295,304
1477526656,337,347
1477614970,303,311
1477699459,341,350
1477788734,312,318
1477875144,311,318
1477971371,310,320
1478048452,312,323
1478132902,305,317
1478217861,346,359
1478304864,306,315
1478393289,311,319
1478478500,353,362
1478563458,358,365
1478652011,355,362
1478737219,360,367
1478825551,317,320
1478910754,314,318
1478999002,312,318
1479083620,318,320
1479168275,317,320
1479257783,315,319
1479342513,314,319
1479430867,313,318
